title,rate,desc,tags,url
Web Development,$143,"Adobe XD file to HTML/ PHP website, responsive design, mobile and desktop verision layout provided, 10 pages of static website only.","CSS, Graphic Design, HTML, PHP, Website Design",https://www.freelancer.com/projects/website-design/web-development-24481019/
Urgently Need Kolkata Based PHP & MySQL Developer,$335,"Only Kolkata based please bid, others will be deleted. 
Need to develop step by step (in several phases) eCommerce & price compare website and apps. Lets Discuss.

Thank you.","HTML, Javascript, MySQL, PHP, Website Design",https://www.freelancer.com/projects/php/urgently-need-kolkata-based-php/
convert a php scraper into python,$163,"I have a quite complex scraper as well as some scripts that do a lot of calculations with social network integrations.
The HW load is too much and so I need somebody that help me on the ""scrape"" processing using scrapy lib and api for laravel.","MySQL, PHP, Python, Software Architecture, Web Scraping",https://www.freelancer.com/projects/python/convert-php-scraper-into-python/
OpenSimulator Money Module,$168,"...to develop some software for me. I would like this software to be developed for Windows using C#, PHP, MySQL.
The software is to be a module for OpenSimulator. 

A money module to active a currency system, you will have to code a few smaller bits in PHP/MySQL to work along side the Module.

It is recommended that you have used or understand the open","C# Programming, MySQL, PHP, Software Architecture, Windows Desktop",https://www.freelancer.com/projects/mysql/opensimulator-money-module/
Add HMVC to existing Web Portal,$129,"We already have a web portal build on php platform and MySQL. We wanted to add HMVC to allow multiple website access to the portal. 

Anyone with the relevant skills and experience are welcome to contact.","Graphic Design, HTML, MySQL, PHP, Website Design",https://www.freelancer.com/projects/php/add-hmvc-existing-web-portal/
PHP developer required to make one page with pagination,$7/hr,"Hi!
I need expert PHP developer For about 2-3 hours work. If you are Good in PHP and can start work right now with reasonable hourly rate, Please bid with word called ""I want work"", so I can talk and we can start the work.
Thanks!","CSS, HTML, MySQL, PHP, Website Design",https://www.freelancer.com/projects/php/php-developer-required-make-one/
Looking for offshore team,$5/hr,"We need developers experts in PHP (WP, CI, LARAVEL) to work with us on many projects","HTML, Laravel, MySQL, PHP, WordPress",https://www.freelancer.com/projects/php/looking-for-offshore-team-24479913/
Custom PHP Coder needed with good experience at low budget,$6/hr,"I need a custom PHP coder for LONG term
I have some simple tasks 
I need at low budget","HTML, Javascript, MySQL, PHP, Website Design",https://www.freelancer.com/projects/php/custom-php-coder-needed-with/
Need Fullstack App Developer for Flutter & PHP Laravel Framework,$2368,"We are looking for a full stack developer for our gaming app. We already have a design and a document for all layouts and functions. I will attach it here.

Its a gaming app where you can play lotto for free. You have to watch an ad and you can win up to 50k Euros.

We need an app that is completely finished - we will pay when its uploaded to the Google Play Store.","Android, Laravel, Mobile App Development, MySQL, PHP",https://www.freelancer.com/projects/laravel/need-fullstack-app-developer-for/
Full Stack web development for custom platform,$31/hr,"...to help build a custom platform for online advertising.
Excelent experience with custom CSS building and good touch for front end design, UIUX is a MUST.
Very good skills in PHP 7 and MariaDBSQLNoSQL is a MUST.
Working with git and CICD.
Working with SOA.
The work is for 2 team members on a full time job basis.

ExperienceKnowledge in the following","Graphic Design, HTML, MySQL, PHP, Website Design",https://www.freelancer.com/projects/php/full-stack-web-development-for/
Need to fix issues and implement some code into my project,$181,"...help me fix a few bugs in my nearly finished website. we seriously need to launch the project ASAP.

Note: We're looking to hire someone extremely experienced in cakephp and php as a whole. this candidate must be an individual freelancer and not part of a company.

The developer cannot and must not steal any if my code and if he/she does they will be","CakePHP, English (UK), English (US), MySQL, PHP",https://www.freelancer.com/projects/php/need-fix-issues-implement-some/
Market Network Platform for Agriculture Community,$850,1.	Agrilinks is an agritech startup founded by IIT Bombay graduates with office in Noida which is ...	The wireframing and prototyping would be done by the Agrilinks team while the development part would have to be handled by the freelancer for both back end infrastructure (PHP would be the server side scripting language) and front end (android native),"Android, Java, Mobile App Development, MySQL, PHP",https://www.freelancer.com/projects/android/market-network-platform-for-agriculture/
